,school name,id,latitude,longitude
514,International Salon and Spa Academy,127316,38.913621,-104.786252
515,Lamar Community College,127389,38.068886,-102.616144
516,Colorado Mesa University,127556,39.080643,-108.553275
517,Metropolitan State University of Denver,127565,39.744202,-105.00504
518,Morgan Community College,127617,40.258792,-103.771822
519,Naropa University,127653,40.014235,-105.266987
520,Nazarene Bible College,127714,38.944824,-104.803251
521,Northeastern Junior College,127732,40.637215,-103.197329
522,University of Northern Colorado,127741,40.410855,-104.692777
523,Otero College,127778,37.969984,-103.544874
524,Pikes Peak State College,127820,38.764287,-104.787261
525,Pueblo Community College,127884,38.262124,-104.636258
526,Red Rocks Community College,127909,39.720277,-105.150094
527,Regis University,127918,39.788175,-105.030756
528,Rocky Mountain College of Art and Design,127945,39.74332,-105.069911
